Station;East (m);North (m);Elevation (m)
1;2;0;0
2;4;0;0
3;6;0;0
4;8;0;0
5;10;0;0
6;12;0;0
7;14;0;0
8;16;0;0
9;18;0;0
10;20;0;0
11;22;0;0
12;24;0;0
13;26;0;0
14;28;0;0
15;30;0;0
16;32;0;0
17;34;0;0
18;36;0;0
19;38;0;0
20;40;0;0
21;42;0;0
22;44;0;0
23;46;0;0
24;48;0;0
25;50;0;0
26;52;0;0
27;54;0;0
28;56;0;0
29;58;0;0
30;60;0;0
31;62;0;0
32;64;0;0
33;66;0;0
34;68;0;0
35;70;0;0
36;72;0;0
37;74;0;0
38;76;0;0
39;78;0;0
40;80;0;0
41;82;0;0
42;84;0;0
43;86;0;0
44;88;0;0
45;90;0;0
46;92;0;0
47;94;0;0
48;96;0;0
49;98;0;0
50;100;0;0
51;102;0;0
52;104;0;0
53;106;0;0
54;108;0;0
55;110;0;0
56;112;0;0
57;114;0;0
58;116;0;0
59;118;0;0
60;120;0;0
