East (m);North (m);Elevation (m)
1093366.942;938490.6168;217.54
1093367.93;938490.46;217.58
1093368.917;938490.3033;217.62
1093369.905;938490.1465;217.65
1093371.88;938489.833;217.73
1093373.856;938489.5195;217.80
1093375.831;938489.206;217.88
1093378.794;938488.7357;217.99
1093381.757;938488.2654;218.10
1093384.72;938487.7952;218.21
1093389.658;938487.0114;218.40
1093394.596;938486.2276;218.58
1093399.534;938485.4438;218.77
1093411.386;938483.5627;219.21
1093423.238;938481.6816;219.66
1093435.089;938479.8005;220.11
1093446.941;938477.9195;220.55
1093458.792;938476.0384;221.00
1093470.644;938474.1573;221.44
1093482.496;938472.2762;221.89
1093487.434;938471.4924;222.07
1093492.372;938470.7086;222.26
1093497.31;938469.9248;222.45
1093500.273;938469.4546;222.56
1093503.236;938468.9843;222.67
1093506.199;938468.514;222.78
1093508.174;938468.2005;222.85
1093510.15;938467.887;222.93
1093512.125;938467.5735;223.00
1093513.112;938467.4167;223.04
1093514.1;938467.26;223.08
1093515.088;938467.1032;223.11
